ID,LoanApproved
0,0.9993605679446752
1,0.007545195628270132
2,0.9994772384905973
3,0.9984509104338842
4,0.9944511133417148
5,0.0011572916937505283
6,0.9997962612152399
7,0.9980654821325694
8,0.8086291594414988
9,0.00018452995149816564
10,0.9787886968501268
11,0.8702149750973731
12,0.4134175806089676
13,0.9994499466315994
14,0.9722813069965403
15,0.005016073668930498
16,0.9999762203814475
17,0.9910475004480821
18,0.0003267105624661156
19,0.00014304559746303682
20,0.0009475120020842811
21,0.9997488599022932
22,0.004220839111309067
23,0.7595481802956728
24,0.24883121839856817
25,0.9999381915317204
26,0.9992629959266532
27,0.9978139563910811
28,0.003958537839091764
29,5.635846417875007e-05
30,0.9957198801211348
31,0.04988220365710767
32,0.9805398170012027
33,0.990656746930898
34,0.9979174594315269
35,0.9994458821799485
36,0.0039610834378805615
37,0.06509955738954226
38,0.9301209523114041
39,0.0016924240975642669
40,9.431684197123702e-05
41,0.5285609700015386
42,0.003823344292322467
43,0.9998819293032156
44,0.5473959374477538
45,0.9996935785028502
46,0.9832703508084008
47,0.0011364727939894958
48,0.9996591925062254
49,0.9990426216580428
50,0.0007823288035790028
51,0.04978992505207839
52,0.06372711752485377
53,0.999204122666496
54,0.8965782278417056
55,0.5723429328440828
56,0.039131756249469636
57,0.9995024990548212
58,0.9978847185502911
59,0.0016954170664999755
60,0.002407865481869151
61,0.003159536536477261
62,0.992165856387736
63,0.00021149722998739295
64,0.9945098025242558
65,0.9900068041411024
66,0.006189184908259944
67,9.798405050689214e-05
68,0.9997499129522185
69,0.0004400010884875563
70,0.9997748615985375
71,0.9986029654342381
72,0.0010178959923981329
73,0.07886713617656158
74,0.013244730901149075
75,0.00011654892383215502
76,0.00017094108650057022
77,0.999910174567477
78,0.012011742485148903
79,0.005556521565285813
80,0.0001695185409054155
81,0.6748260102644974
82,0.0022850601261158263
83,0.9980768951588078
84,0.0006519720408691773
85,0.00031018383149616745
86,0.0005777483414733629
87,0.9998428329865828
88,0.9618796962595104
89,0.04441004912122076
90,0.9878558877778095
91,0.9738522985275871
92,0.8072188979817077
93,0.9998944650932415
94,0.9521840982988605
95,0.9984885720336298
96,0.9942207397425675
97,0.00011196509298806533
98,0.8837454817835473
99,0.004276110902937592
100,0.9998318832732311
101,0.998581011843567
102,0.00029343102896286306
103,4.184301305652897e-05
104,0.999521268119185
105,0.0005277320711503055
106,0.0023153852163185886
107,0.0005080850166143134
108,0.9927562202008563
109,8.037920974804236e-05
110,0.00015053087261762558
111,0.00014992740117002743
112,0.0003388465335254093
113,0.002097656506538896
114,0.0016135365497704191
115,0.9800080810487192
116,0.000252758017848204
117,0.0015796121162673915
118,0.8157960922862414
119,0.9265244269011859
120,0.9985747778783955
121,0.0012937752926495789
122,0.8376837715606036
123,0.3001296728591092
124,0.9752731266679507
125,0.023415836004710477
126,0.99912314278567
127,0.9997328339030306
128,0.9980068451887173
129,0.008776514828869817
130,0.9988083429553709
131,0.0006197780490244468
132,5.890829637893634e-05
133,0.00019325424235737973
134,0.9999670631091778
135,0.9168317338766481
136,0.9999263673299199
137,0.22479594648205212
138,0.9999073764985922
139,0.8389409631138111
140,0.05700243016782609
141,0.7367992009066249
142,0.999722831334902
143,0.9991525418953927
144,0.02186983269687035
145,0.9997846867937036
146,0.13839414246531895
147,0.002093226887811458
148,0.0009154645706110836
149,0.0009970111098164792
150,0.947832272634705
151,0.971408289557321
152,0.0002427412547725272
153,0.9700433999352491
154,0.00015750796207430416
155,0.9998546904940377
156,0.001256411858965334
157,0.010359537860155624
158,0.00012302994869215988
159,0.002602203738594736
160,0.8644546720465139
161,0.8486621171091958
162,0.0001277491547791747
163,0.5863193539148771
164,0.9158225226160083
